iter	Passed	Remaining
0	0	300
1	0	260
2	0	240
3	0	234
4	1	233
5	1	232
6	1	230
7	1	228
8	2	226
9	2	231
10	2	228
11	2	228
12	3	230
13	3	230
14	3	229
15	3	230
16	3	230
17	4	228
18	4	226
19	4	227
20	4	226
21	5	226
22	5	226
23	5	226
24	5	225
25	5	224
26	6	224
27	6	222
28	6	223
29	6	223
30	7	222
31	7	222
32	7	221
33	7	220
34	7	219
35	8	218
36	8	218
37	9	236
38	9	235
39	9	234
40	10	234
41	10	233
42	10	233
43	10	232
44	10	231
45	11	231
46	11	230
47	11	230
48	11	230
49	12	229
50	12	229
51	12	228
52	12	227
53	12	227
54	13	227
55	13	226
56	13	225
57	13	224
58	14	224
59	14	223
60	14	223
61	14	223
62	15	223
63	15	223
64	15	222
65	15	222
66	15	222
67	16	221
68	16	222
69	16	222
70	16	222
71	17	222
72	17	221
73	17	221
74	17	220
75	18	219
76	18	219
77	18	218
78	18	218
79	18	218
80	19	218
81	19	217
82	19	215
83	19	215
84	19	214
85	20	214
86	20	214
87	20	213
88	20	213
89	21	213
90	21	213
91	21	213
92	21	212
93	22	212
94	22	211
95	22	211
96	22	211
97	22	210
98	23	211
99	23	211
100	23	210
101	23	210
102	24	210
103	24	209
104	24	210
105	24	209
106	25	209
107	25	209
108	25	208
109	25	208
110	25	208
111	26	207
112	26	207
113	26	206
114	26	206
115	27	206
116	27	205
117	27	204
118	27	204
119	27	203
120	27	203
121	28	207
122	29	206
123	29	206
124	29	206
125	29	206
126	29	205
127	30	205
128	30	205
129	30	205
130	30	204
131	31	204
132	31	203
133	31	203
134	31	202
135	31	202
136	32	201
137	32	201
138	32	201
139	32	201
140	32	200
141	33	200
142	33	200
143	33	200
144	33	200
145	34	199
146	34	199
147	34	199
148	34	199
149	35	198
150	35	198
151	35	198
152	35	197
153	35	197
154	36	196
155	36	196
156	36	196
157	36	195
158	36	195
159	37	195
160	37	194
161	37	194
162	37	193
163	37	193
164	38	193
165	38	193
166	38	193
167	38	193
168	39	192
169	39	192
170	39	192
171	39	191
172	40	192
173	40	192
174	40	191
175	40	191
176	41	191
177	41	190
178	41	190
179	41	190
180	42	190
181	42	189
182	42	189
183	42	189
184	42	188
185	43	188
186	43	188
187	43	187
188	43	187
189	43	187
190	44	187
191	44	186
192	44	186
193	44	186
194	45	186
195	45	186
196	45	185
197	45	185
198	46	185
199	46	184
200	46	184
201	46	184
202	46	184
203	47	183
204	48	186
205	48	186
206	48	185
207	48	185
208	48	185
209	49	184
210	49	184
211	49	184
212	49	183
213	49	183
214	50	183
215	50	182
216	50	182
217	50	182
218	51	181
219	51	181
220	51	181
221	51	180
222	51	180
223	52	180
224	52	180
225	52	179
226	52	179
227	52	179
228	53	179
229	53	178
230	53	178
231	53	178
232	54	177
233	54	177
234	54	177
235	54	176
236	54	176
237	55	176
238	55	175
239	55	175
240	55	175
241	55	175
242	56	174
243	56	174
244	56	174
245	56	174
246	57	173
247	57	173
248	57	173
249	57	173
250	57	172
251	58	172
252	58	172
253	58	171
254	58	171
255	58	171
256	59	171
257	59	170
258	59	170
259	59	170
260	60	169
261	60	169
262	60	169
263	60	169
264	60	168
265	61	168
266	61	168
267	61	167
268	61	167
269	61	167
270	62	167
271	62	166
272	62	166
273	62	166
274	63	166
275	63	166
276	63	165
277	63	165
278	64	165
279	64	165
280	64	164
281	64	164
282	64	164
283	65	164
284	65	164
285	65	163
286	65	163
287	66	163
288	66	163
289	66	162
290	66	162
291	66	162
292	67	162
293	67	161
294	67	161
295	67	161
296	68	161
297	68	161
298	68	160
299	68	160
300	69	160
301	69	160
302	69	160
303	69	159
304	70	159
305	70	159
306	70	159
307	70	159
308	71	158
309	71	158
310	71	158
311	71	158
312	71	157
313	72	157
314	72	157
315	72	157
316	72	157
317	73	156
318	73	156
319	73	156
320	73	155
321	74	155
322	74	155
323	74	155
324	74	155
325	74	154
326	75	154
327	75	154
328	75	153
329	75	153
330	75	153
331	76	153
332	76	152
333	76	152
334	76	152
335	76	152
336	77	151
337	77	151
338	77	151
339	77	151
340	77	150
341	78	150
342	78	150
343	78	149
344	78	149
345	79	149
346	79	149
347	79	149
348	79	148
349	79	148
350	80	148
351	80	147
352	80	147
353	80	147
354	81	147
355	81	146
356	81	146
357	81	146
358	81	146
359	82	145
360	82	145
361	82	145
362	82	145
363	82	144
364	83	144
365	83	144
366	83	143
367	83	143
368	83	143
369	84	143
370	84	142
371	84	142
372	84	142
373	84	142
374	85	141
375	85	141
376	85	141
377	85	141
378	86	141
379	86	140
380	86	140
381	86	140
382	87	140
383	87	139
384	87	139
385	87	139
386	87	139
387	88	138
388	88	138
389	88	138
390	88	138
391	88	137
392	89	137
393	89	137
394	89	137
395	89	136
396	90	136
397	90	136
398	90	136
399	90	135
400	90	135
401	91	135
402	91	135
403	91	134
404	91	134
405	91	134
406	92	134
407	92	133
408	92	133
409	92	133
410	92	133
411	93	132
412	93	132
413	93	132
414	93	132
415	93	131
416	94	131
417	94	131
418	94	131
419	94	130
420	94	130
421	95	130
422	95	130
423	95	129
424	95	129
425	95	129
426	96	129
427	96	128
428	96	128
429	96	128
430	97	128
431	97	127
432	97	127
433	97	127
434	97	127
435	98	126
436	98	126
437	98	126
438	98	126
439	98	125
440	99	125
441	99	125
442	99	125
443	99	124
444	99	124
445	100	124
446	100	124
447	100	124
448	100	123
449	101	123
450	101	123
451	101	123
452	101	122
453	102	122
454	102	122
455	102	122
456	102	121
457	102	121
458	103	121
459	103	121
460	103	121
461	103	120
462	104	120
463	104	120
464	104	120
465	104	119
466	104	119
467	105	119
468	105	119
469	105	119
470	105	118
471	105	118
472	106	118
473	106	118
474	106	117
475	106	117
476	107	117
477	107	117
478	107	116
479	107	116
480	107	116
481	108	116
482	108	116
483	108	115
484	108	115
485	109	115
486	109	115
487	109	114
488	109	114
489	109	114
490	110	114
491	110	114
492	110	113
493	110	113
494	111	113
495	111	113
496	111	112
497	111	112
498	111	112
499	112	112
500	112	111
501	112	111
502	112	111
503	112	111
504	113	110
505	113	110
506	113	110
507	113	110
508	113	109
509	114	109
510	114	109
511	114	109
512	114	109
513	115	108
514	115	108
515	115	108
516	115	108
517	115	107
518	116	107
519	116	107
520	116	107
521	116	106
522	116	106
523	117	106
524	117	106
525	117	106
526	117	105
527	118	105
528	118	105
529	118	105
530	118	104
531	119	104
532	119	104
533	119	104
534	119	103
535	119	103
536	120	103
537	120	103
538	120	103
539	120	102
540	120	102
541	121	102
542	121	102
543	121	101
544	121	101
545	122	101
546	122	101
547	122	101
548	122	100
549	122	100
550	123	100
551	123	100
552	123	99
553	123	99
554	123	99
555	124	99
556	124	98
557	124	98
558	124	98
559	125	98
560	125	97
561	125	97
562	125	97
563	125	97
564	126	97
565	126	96
566	126	96
567	126	96
568	127	96
569	127	95
570	127	95
571	127	95
572	127	95
573	128	95
574	128	94
575	128	94
576	128	94
577	128	94
578	129	93
579	129	93
580	129	93
581	129	93
582	129	92
583	130	92
584	130	92
585	130	92
586	130	92
587	131	91
588	131	91
589	131	91
590	131	91
591	131	90
592	132	90
593	132	90
594	132	90
595	132	89
596	132	89
597	133	89
598	133	89
599	133	89
600	133	88
601	134	88
602	134	88
603	134	88
604	134	87
605	134	87
606	135	87
607	135	87
608	135	87
609	135	86
610	135	86
611	136	86
612	136	86
613	136	85
614	136	85
615	137	85
616	137	85
617	137	85
618	137	84
619	137	84
620	138	84
621	138	84
622	138	83
623	138	83
624	139	83
625	139	83
626	139	83
627	139	82
628	139	82
629	140	82
